      37,   0.254593,   0.984984,   0.137765
      53,   0.263993,   0.973753,   0.133614
      71,   0.266191,   0.965818,   0.132882
      87,   0.265824,   0.963865,   0.132760
     104,   0.264848,   0.963743,   0.131661
     120,   0.264848,   0.962766,   0.130562
     138,   0.266313,   0.964231,   0.131661
     155,   0.267778,   0.962522,   0.129219
     173,   0.264848,   0.963743,   0.131295
     187,   0.256668,   0.977904,   0.127510
     206,   0.254837,   0.971190,   0.121284
     221,   0.253739,   0.964109,   0.127999
     236,   0.252396,   0.970945,   0.143014
     256,   0.252762,   0.967894,   0.151315
     271,   0.256791,   0.960935,   0.154856
     287,   0.244705,   0.959348,   0.163279
     304,   0.252274,   0.965330,   0.170237
     320,   0.250320,   0.978026,   0.176708
     337,   0.252030,   0.979369,   0.178295
     353,   0.252518,   0.966917,   0.169139
     370,   0.245559,   0.963377,   0.172313
     387,   0.235793,   0.999756,   0.268022
     404,   0.228713,   0.814808,   0.079167
     420,   0.222609,   0.984740,   0.171092
     439,   0.192578,   0.988403,   0.129952
     454,   0.176708,   1.054813,   0.147043
     472,   0.207593,   1.058475,   0.162058
     487,   0.146554,   1.162486,   0.196850
     505,   0.242263,   1.277239,   0.272416
     521,   0.279375,   1.317402,   0.299274
     537,   0.295001,   1.401148,   0.363731
     553,   0.294757,   1.718184,   0.560642
     571,   0.294879,   1.998474,   0.684551
     587,   0.286211,   1.930477,   0.741317
     607,   0.332967,   1.691815,   0.662089
     621,   0.257035,   0.941891,   0.450894
     640,   0.194409,   0.616798,   0.550388
     657,   0.209669,   0.084417,   0.215040
     670,   0.194531,   0.059513,   0.207227
     690,   0.133248,  -0.241165,   0.278765
     706,   0.111884,  -0.765000,  -0.202954
     721,  -0.075139,  -1.069462,  -0.389733
     740,  -0.245315,  -1.256974,  -0.661234
     754,  -0.107856,  -1.329854,  -0.764878
     772,   0.002991,  -1.105963,  -0.775377
     787,  -0.036318,  -0.714948,  -0.668803
     804,   0.130928,  -0.506928,  -0.666606
     820,   0.175975,  -0.486297,  -0.780748
     837,   0.203931,  -0.453580,  -0.828603
     854,   0.167430,  -0.415370,  -0.961546
     873,   0.110297,  -0.418299,  -0.997681
     888,   0.117012,  -0.343832,  -0.975584
     905,   0.138741,  -0.307941,  -0.966184
     921,   0.155466,  -0.264359,  -0.930538
     939,   0.178417,  -0.252518,  -0.933834
     954,   0.170970,  -0.274858,  -0.956662
     972,   0.140084,  -0.276689,  -1.034182
     988,   0.082097,  -0.313191,  -1.105719
    1005,   0.057193,  -0.313557,  -1.154306
    1021,   0.088689,  -0.230666,  -1.014283
    1038,   0.157053,  -0.210401,  -0.999390
    1055,   0.162180,  -0.232497,  -1.013062
    1071,   0.118110,  -0.261063,  -1.018190
    1087,   0.081365,  -0.270585,  -1.023927
    1105,   0.083928,  -0.256913,  -0.975584
    1120,   0.107123,  -0.245315,  -0.930538
    1139,   0.118110,  -0.263993,  -0.946408
    1155,   0.142404,  -0.220167,  -0.952146
    1171,   0.054508,  -0.195752,  -1.025026
    1186,   0.109809,  -0.141183,  -1.001709
    1205,   0.106269,  -0.113227,  -0.986938
    1223,   0.061588,  -0.221388,  -1.011597
    1238,   0.051822,  -0.274980,  -1.001465
    1253,   0.073430,  -0.274126,  -1.005249
    1268,   0.077703,  -0.253983,  -1.008545
    1289,   0.068791,  -0.211256,  -0.999268
    1305,   0.075627,  -0.192211,  -0.994384
    1321,   0.074895,  -0.188915,  -0.991088
    1338,   0.074895,  -0.162791,  -0.995849
    1354,   0.077214,  -0.155588,  -0.997803
    1373,   0.083928,  -0.193188,  -0.995483
    1388,   0.103339,  -0.179149,  -1.000732
    1404,   0.116523,  -0.146432,  -1.009888
    1422,   0.125313,  -0.127144,  -1.016480
    1437,   0.099310,  -0.178295,  -1.062748
    1456,   0.086248,  -0.170604,  -1.064457
    1472,   0.061832,  -0.163035,  -1.043704
    1487,   0.068180,  -0.097723,  -1.034426
    1507,   0.087469,  -0.178295,  -1.033449
    1521,   0.113837,  -0.234450,  -1.029299
    1538,   0.113593,  -0.250565,  -1.034670
    1555,   0.117256,  -0.220656,  -1.016358
    1573,   0.101752,  -0.188671,  -0.996826
    1589,   0.102606,  -0.166209,  -0.982299
    1606,   0.096258,  -0.209302,  -0.987914
    1623,   0.096991,  -0.245559,  -0.980956
    1640,   0.106513,  -0.261552,  -0.967283
    1657,   0.114814,  -0.190869,  -0.968504
    1671,   0.113715,  -0.160960,  -0.983886
    1688,   0.091253,  -0.192944,  -1.001709
    1705,   0.077947,  -0.183544,  -1.001831
    1721,   0.075383,  -0.175243,  -0.997558
    1740,   0.086370,  -0.164988,  -0.994384
    1755,   0.105414,  -0.182567,  -0.995849
    1773,   0.109443,  -0.155222,  -0.992797
    1788,   0.158762,  -0.168284,  -0.997436
    1806,   0.147531,  -0.153269,  -0.974486
    1822,   0.152780,  -0.190502,  -0.985839
    1839,   0.157541,  -0.171580,  -0.978148
    1857,   0.150827,  -0.133248,  -0.969725
    1872,   0.139474,  -0.137399,  -0.979125
    1890,   0.119453,  -0.150583,  -0.987060
    1905,   0.100409,  -0.149484,  -0.999634
    1923,   0.106269,  -0.133980,  -0.998779
    1939,   0.114082,  -0.105170,  -1.002075
    1955,   0.115425,  -0.104560,  -1.002930
    1972,   0.124702,  -0.102118,  -0.998047
    1988,   0.138131,  -0.124458,  -0.990844
    2007,   0.165843,  -0.145822,  -0.987792
    2022,   0.173167,  -0.163645,  -0.987182
    2039,   0.171702,  -0.156687,  -0.994995
    2057,   0.148752,  -0.142770,  -1.032228
    2073,   0.146798,  -0.114814,  -1.027101
    2088,   0.151682,  -0.093084,  -1.017457
    2105,   0.157663,  -0.084417,  -1.014039
    2122,   0.162913,  -0.086980,  -1.011353
    2137,   0.166941,  -0.096747,  -1.020265
    2158,   0.159617,  -0.100165,  -1.019777
